Head_id,Link,Dep_id,Sentence_no,Partition
T227,Argument-Arg,T228,14,3
T228,Argument-Arg,T229,14,3
T229,Argument-Arg,T230,14,3
T225,Argument-Arg,T233,15,3
T232,Argument-Arg,T225,15,3
T233,Argument-Arg,T231,15,3
T235,Pre_Clause-Arg,T241,16,3
T238,Argument-Arg,T239,16,3
T238,Argument-Arg,T237,16,3
T240,Argument-Arg,T238,16,3
T241,Post_Clause-Arg,T238,16,3
T9,Argument-Arg,T7,0,3
T9,Argument-Arg,T8,0,3
T21,Argument-Arg,T56,5,3
T21,Argument-Arg,T60,5,3
T22,Argument-Arg,T80,6,3
T22,Argument-Arg,T68,6,3
T24,Argument-Arg,T26,11,3
T24,Argument-Arg,T135,11,3
T27,And_Or_Arg,T52,19,3
T27,And_Or_Arg,T199,19,3
T52,Argument-Arg,T28,19,3
T136,Argument-Arg,T153,21,3
T150,Argument-Arg,T208,21,3
T150,Argument-Arg,T136,21,3
T150,Post_Clause-Arg,T188,21,3
T242,Argument-Arg,T243,23,3
T2,Argument-Arg,T3,24,2
T2,Argument-Arg,T1,24,2
T5,Argument-Arg,T4,25,2
T5,Argument-Arg,T163,25,2
T6,Argument-Arg,T163,25,2
T8,Argument-Arg,T7,26,2
T8,Argument-Arg,T9,26,2
T8,Post_Clause-Arg,T12,26,2
T10,Pre_Clause-Arg,T8,26,2
T12,Argument-Arg,T11,26,2
T12,Argument-Arg,T13,26,2
T13,Argument-Arg,T14,26,2
T16,Argument-Arg,T17,27,2
T16,Argument-Arg,T15,27,2
T18,Pre_Clause-Arg,T24,28,2
T20,Argument-Arg,T21,28,2
T20,Argument-Arg,T19,28,2
T24,And_Or_Arg,T25,28,2
T24,And_Or_Arg,T20,28,2
T24,Post_Clause-Arg,T26,28,2
T26,Retrn_val-Arg,T27,28,2
T28,Argument-Arg,T27,28,2
T28,Argument-Arg,T23,28,2
T22,Pre_Clause-Arg,T30,29,2
T30,Argument-Arg,T29,29,2
T30,Argument-Arg,T31,29,2
T30,Post_Clause-Arg,T33,29,2
T33,Argument-Arg,T37,29,2
T33,Argument-Arg,T35,29,2
T35,And_Or_Arg,T34,29,2
T35,And_Or_Arg,T36,29,2
T38,Pre_Clause-Arg,T40,30,2
T40,Argument-Arg,T39,30,2
T40,Argument-Arg,T41,30,2
T40,Post_Clause-Arg,T43,30,2
T43,Argument-Arg,T47,30,2
T43,Argument-Arg,T45,30,2
T47,And_Or_Arg,T44,30,2
T47,And_Or_Arg,T46,30,2
T48,Pre_Clause-Arg,T50,31,2
T50,Argument-Arg,T49,31,2
T50,Argument-Arg,T51,31,2
T50,Post_Clause-Arg,T53,31,2
T53,Argument-Arg,T55,31,2
T53,Argument-Arg,T57,31,2
T55,And_Or_Arg,T54,31,2
T55,And_Or_Arg,T56,31,2
T57,And_Or_Arg,T59,31,2
T57,And_Or_Arg,T58,31,2
T61,Argument-Arg,T62,32,2
T61,Argument-Arg,T60,32,2
T63,Argument-Arg,T64,32,2
T63,Argument-Arg,T62,32,2
T65,Pre_Clause-Arg,T66,33,2
T66,Post_Clause-Arg,T70,33,2
T68,Argument-Arg,T67,33,2
T68,Argument-Arg,T69,33,2
T70,Retrn_val-Arg,T67,33,2
T71,Pre_Clause-Arg,T113,34,2
T72,Pre_Clause-Arg,T111,35,2
T73,Post_Clause-Arg,T107,36,2
T74,Pre_Clause-Arg,T95,37,2
T75,Pre_Clause-Arg,T96,38,2
T76,Pre_Clause-Arg,T97,39,2
T90,And_Or_Arg,T83,38,2
T90,And_Or_Arg,T84,38,2
T91,And_Or_Arg,T86,39,2
T91,And_Or_Arg,T85,39,2
T91,And_Or_Arg,T87,39,2
T95,Argument-Arg,T94,37,2
T95,Argument-Arg,T81,37,2
T95,Post_Clause-Arg,T101,37,2
T96,Argument-Arg,T88,38,2
T96,Argument-Arg,T93,38,2
T96,Post_Clause-Arg,T102,38,2
T97,Argument-Arg,T89,39,2
T97,Argument-Arg,T92,39,2
T97,Post_Clause-Arg,T103,39,2
T101,Argument-Arg,T82,37,2
T101,Argument-Arg,T99,37,2
T102,Argument-Arg,T90,38,2
T102,Argument-Arg,T98,38,2
T103,Argument-Arg,T91,39,2
T103,Argument-Arg,T100,39,2
T107,Argument-Arg,T80,36,2
T107,Argument-Arg,T106,36,2
T108,Argument-Arg,T79,35,2
T108,Argument-Arg,T105,35,2
T109,Argument-Arg,T77,34,2
T109,Argument-Arg,T104,34,2
T111,Argument-Arg,T78,35,2
T111,Argument-Arg,T110,35,2
T111,Post_Clause-Arg,T108,35,2
T113,Argument-Arg,T117,34,2
T113,Argument-Arg,T114,34,2
T113,Post_Clause-Arg,T109,34,2
T114,And_Or_Arg,T115,34,2
T114,And_Or_Arg,T116,34,2
T118,Pre_Clause-Arg,T126,40,2
T120,Argument-Arg,T121,40,2
T122,And_Or_Arg,T124,40,2
T122,And_Or_Arg,T120,40,2
T124,Argument-Arg,T123,40,2
T124,Argument-Arg,T125,40,2
T126,And_Or_Arg,T127,40,2
T126,And_Or_Arg,T120,40,2
T126,Post_Clause-Arg,T132,40,2
T128,And_Or_Arg,T131,40,2
T128,And_Or_Arg,T130,40,2
T129,Argument-Arg,T127,40,2
T129,Argument-Arg,T128,40,2
T136,Argument-Arg,T137,41,2
T136,Argument-Arg,T135,41,2
T136,Post_Clause-Arg,T138,41,2
T138,Argument-Arg,T139,41,2
T139,Argument-Arg,T142,41,2
T140,Argument-Arg,T142,41,2
T140,Argument-Arg,T141,41,2
T143,Pre_Clause-Arg,T136,41,2
T145,Pre_Clause-Arg,T146,43,2
T146,Argument-Arg,T144,43,2
T146,Post_Clause-Arg,T152,43,2
T152,Retrn_val-Arg,T148,43,2
T153,Retrn_val-Arg,T151,44,2
T155,Pre_Clause-Arg,T157,44,2
T157,Argument-Arg,T156,44,2
T157,Post_Clause-Arg,T153,44,2
T159,And_Or_Arg,T158,44,2
T159,And_Or_Arg,T157,44,2
T161,Retrn_val-Arg,T162,45,2
T1,Pre_Clause-Arg,T2,46,0
T2,And_Or_Arg,T3,46,0
T2,And_Or_Arg,T4,46,0
T2,Post_Clause-Arg,T9,46,0
T4,Argument-Arg,T6,46,0
T9,Argument-Arg,T7,46,0
T9,Argument-Arg,T8,46,0
T11,Argument-Arg,T12,47,0
T12,And_Or_Arg,T16,47,0
T12,And_Or_Arg,T15,47,0
T12,And_Or_Arg,T14,47,0
T17,Pre_Clause-Arg,T19,48,0
T19,Argument-Arg,T18,48,0
T19,Argument-Arg,T20,48,0
T19,Post_Clause-Arg,T25,48,0
T22,Argument-Arg,T24,48,0
T23,Argument-Arg,T24,48,0
T25,And_Or_Arg,T23,48,0
T25,And_Or_Arg,T22,48,0
T26,Pre_Clause-Arg,T29,49,0
T29,And_Or_Arg,T36,49,0
T29,And_Or_Arg,T31,49,0
T29,Post_Clause-Arg,T33,49,0
T31,Argument-Arg,T30,49,0
T31,Argument-Arg,T32,49,0
T33,Retrn_val-Arg,T35,49,0
T36,Argument-Arg,T27,49,0
T36,Argument-Arg,T28,49,0
T38,Argument-Arg,T39,51,0
T38,Argument-Arg,T43,51,0
T40,Argument-Arg,T41,51,0
T40,Argument-Arg,T43,51,0
T44,Argument-Arg,T47,52,0
T44,Argument-Arg,T42,52,0
T45,Argument-Arg,T47,52,0
T45,Argument-Arg,T46,52,0
T48,Pre_Clause-Arg,T51,53,0
T51,Argument-Arg,T53,53,0
T51,Argument-Arg,T57,53,0
T51,Argument-Arg,T50,53,0
T52,Argument-Arg,T53,53,0
T49,Argument-Arg,T50,53,0
T56,Argument-Arg,T54,53,0
T56,Argument-Arg,T55,53,0
T57,Argument-Arg,T54,53,0
T61,Argument-Arg,T60,53,0
T61,Argument-Arg,T59,53,0
T61,Post_Clause-Arg,T64,53,0
T58,Pre_Clause-Arg,T61,53,0
T63,Argument-Arg,T62,53,0
T64,Argument-Arg,T62,53,0
T65,Pre_Clause-Arg,T67,54,0
T67,Argument-Arg,T66,54,0
T67,Post_Clause-Arg,T68,54,0
T68,Argument-Arg,T71,54,0
T70,Argument-Arg,T69,54,0
T71,Argument-Arg,T69,54,0
T73,Pre_Clause-Arg,T74,55,0
T74,Post_Clause-Arg,T75,55,0
T75,Retrn_val-Arg,T76,55,0
T77,Pre_Clause-Arg,T79,56,0
T79,Argument-Arg,T78,56,0
T80,Argument-Arg,T84,63,0
T80,Post_Clause-Arg,T82,63,0
T82,Retrn_val-Arg,T81,63,0
T85,Pre_Clause-Arg,T80,63,0
T86,Retrn_val-Arg,T87,64,0
T90,Retrn_val-Arg,T88,65,0
T91,Pre_Clause-Arg,T93,64,0
T93,Argument-Arg,T94,64,0
T93,Argument-Arg,T92,64,0
T93,Post_Clause-Arg,T86,64,0
T95,Pre_Clause-Arg,T97,65,0
T97,And_Or_Arg,T100,65,0
T97,And_Or_Arg,T96,65,0
T97,Post_Clause-Arg,T90,65,0
T99,Argument-Arg,T101,65,0
T100,Argument-Arg,T101,65,0
T103,Argument-Arg,T104,60,0
T103,Argument-Arg,T102,60,0
T107,Argument-Arg,T106,60,0
T107,Argument-Arg,T104,60,0
T108,Retrn_val-Arg,T102,60,0
T112,Argument-Arg,T115,62,0
T112,Argument-Arg,T116,62,0
T113,Pre_Clause-Arg,T114,62,0
T114,Post_Clause-Arg,T112,62,0
T116,Argument-Arg,T117,62,0
T118,Pre_Clause-Arg,T139,57,0
T119,Pre_Clause-Arg,T132,58,0
T120,Pre_Clause-Arg,T124,59,0
T122,Retrn_val-Arg,T121,59,0
T124,Argument-Arg,T123,59,0
T124,Argument-Arg,T122,59,0
T126,Argument-Arg,T125,58,0
T128,Argument-Arg,T129,58,0
T128,Argument-Arg,T127,58,0
T130,Argument-Arg,T129,58,0
T132,And_Or_Arg,T128,58,0
T132,And_Or_Arg,T126,58,0
T134,Argument-Arg,T135,58,0
T134,Argument-Arg,T137,58,0
T139,Argument-Arg,T140,57,0
T139,Post_Clause-Arg,T145,57,0
T141,Argument-Arg,T146,57,0
T142,Argument-Arg,T144,57,0
T142,Argument-Arg,T10,57,0
T145,And_Or_Arg,T142,57,0
T145,And_Or_Arg,T141,57,0
T150,Pre_Clause-Arg,T152,71,0
T152,Argument-Arg,T153,71,0
T152,Argument-Arg,T149,71,0
T152,Post_Clause-Arg,T148,71,0
T154,Pre_Clause-Arg,T156,72,0
T156,Argument-Arg,T155,72,0
T156,Post_Clause-Arg,T160,72,0
T158,Argument-Arg,T159,72,0
T160,And_Or_Arg,T158,72,0
T160,And_Or_Arg,T161,72,0
T161,Argument-Arg,T162,72,0
T163,Argument-Arg,T165,72,0
T163,Argument-Arg,T162,72,0
T164,Argument-Arg,T165,72,0
T166,Pre_Clause-Arg,T168,79,0
T168,Argument-Arg,T167,79,0
T168,Post_Clause-Arg,T170,79,0
T170,Retrn_val-Arg,T169,79,0
T172,Retrn_val-Arg,T173,76,0
T174,Retrn_val-Arg,T178,74,0
T175,Pre_Clause-Arg,T177,74,0
T177,Argument-Arg,T176,74,0
T177,Post_Clause-Arg,T174,74,0
T179,Pre_Clause-Arg,T181,75,0
T181,Post_Clause-Arg,T183,75,0
T183,Retrn_val-Arg,T184,75,0
T185,Pre_Clause-Arg,T186,76,0
T186,Post_Clause-Arg,T172,76,0
T186,Argument-Arg,T188,76,0
T190,Retrn_val-Arg,T189,77,0
T191,Pre_Clause-Arg,T201,77,0
T192,else_Clause-Arg,T198,78,0
T194,Argument-Arg,T193,78,0
T194,Post_Clause-Arg,T195,78,0
T195,Retrn_val-Arg,T196,78,0
T198,Retrn_val-Arg,T197,78,0
T200,And_Or_Arg,T202,77,0
T200,And_Or_Arg,T203,77,0
T201,Argument-Arg,T200,77,0
T201,Argument-Arg,T199,77,0
T201,Post_Clause-Arg,T190,77,0
T204,Pre_Clause-Arg,T206,73,0
T206,Argument-Arg,T207,73,0
T206,Post_Clause-Arg,T208,73,0
T208,Retrn_val-Arg,T209,73,0
T210,Pre_Clause-Arg,T214,70,0
T212,Argument-Arg,T211,70,0
T212,Argument-Arg,T213,70,0
T212,Argument-Arg,T235,70,0
T214,And_Or_Arg,T212,70,0
T214,And_Or_Arg,T215,70,0
T214,Post_Clause-Arg,T219,70,0
T215,Argument-Arg,T216,70,0
T215,Argument-Arg,T217,70,0
T219,Argument-Arg,T218,70,0
T220,Pre_Clause-Arg,T223,67,0
T222,Argument-Arg,T221,67,0
T223,Argument-Arg,T224,67,0
T223,Argument-Arg,T222,67,0
T223,Post_Clause-Arg,T226,67,0
T226,Retrn_val-Arg,T225,67,0
T229,Pre_Clause-Arg,T233,68,0
T231,Argument-Arg,T230,68,0
T231,Argument-Arg,T232,68,0
T233,And_Or_Arg,T231,68,0
T233,And_Or_Arg,T234,68,0
T233,Post_Clause-Arg,T239,68,0
T234,Argument-Arg,T236,68,0
T234,Argument-Arg,T138,68,0
T236,And_Or_Arg,T238,68,0
T236,And_Or_Arg,T237,68,0
T239,Retrn_val-Arg,T227,68,0
T10,Argument-Arg,T143,57,0
T137,Argument-Arg,T136,58,0
T3,Argument-Arg,T2,84,4
T3,Argument-Arg,T1,84,4
T6,Argument-Arg,T5,83,4
T6,Argument-Arg,T4,83,4
T7,Argument-Arg,T8,80,4
T7,Argument-Arg,T9,80,4
T12,Retrn_val-Arg,T10,81,4
T14,Pre_Clause-Arg,T15,81,4
T15,Argument-Arg,T16,81,4
T15,Post_Clause-Arg,T12,81,4
T15,Argument-Arg,T13,81,4
T15,Argument-Arg,T11,81,4
T23,Argument-Arg,T22,85,4
T23,Argument-Arg,T21,85,4
T28,And_Or_Arg,T25,86,4
T28,And_Or_Arg,T24,86,4
T29,Pre_Clause-Arg,T32,87,4
T32,Argument-Arg,T31,87,4
T32,Argument-Arg,T30,87,4
T32,Post_Clause-Arg,T35,87,4
T35,Argument-Arg,T33,87,4
T38,Argument-Arg,T36,88,4
T38,Argument-Arg,T37,88,4
T39,Pre_Clause-Arg,T41,89,4
T41,Argument-Arg,T42,89,4
T41,Post_Clause-Arg,T45,89,4
T45,Argument-Arg,T46,89,4
T46,Argument-Arg,T48,89,4
T48,And_Or_Arg,T49,89,4
T48,And_Or_Arg,T47,89,4
T51,Argument-Arg,T50,90,4
T51,Post_Clause-Arg,T239,90,4
T53,Argument-Arg,T55,91,4
T53,Post_Clause-Arg,T52,91,4
T61,Argument-Arg,T59,95,4
T61,Post_Clause-Arg,T82,95,4
T76,Argument-Arg,T62,96,4
T77,Argument-Arg,T63,97,4
T78,Argument-Arg,T64,98,4
T79,Argument-Arg,T66,99,4
T80,Argument-Arg,T65,100,4
T80,Post_Clause-Arg,T60,100,4
T84,Argument-Arg,T68,103,4
T84,Post_Clause-Arg,T81,103,4
T85,Argument-Arg,T67,101,4
T85,Post_Clause-Arg,T244,101,4
T88,Argument-Arg,T90,90,4
T88,Argument-Arg,T242,90,4
T94,Argument-Arg,T54,93,4
T96,Argument-Arg,T94,93,4
T96,Post_Clause-Arg,T98,93,4
T98,Argument-Arg,T99,93,4
T98,Argument-Arg,T100,93,4
T101,Argument-Arg,T102,108,4
T104,And_Or_Arg,T101,108,4
T104,And_Or_Arg,T106,108,4
T106,Argument-Arg,T107,108,4
T109,Argument-Arg,T107,108,4
T111,Argument-Arg,T112,107,4
T113,And_Or_Arg,T111,107,4
T113,And_Or_Arg,T115,107,4
T115,Argument-Arg,T116,107,4
T117,Argument-Arg,T116,107,4
T120,Argument-Arg,T121,105,4
T120,Argument-Arg,T122,105,4
T124,Argument-Arg,T125,106,4
T124,Argument-Arg,T126,106,4
T124,Post_Clause-Arg,T130,106,4
T129,Argument-Arg,T128,106,4
T130,Argument-Arg,T131,106,4
T130,Argument-Arg,T134,106,4
T130,Post_Clause-Arg,T129,106,4
T134,And_Or_Arg,T132,106,4
T134,And_Or_Arg,T133,106,4
T135,Argument-Arg,T136,103,4
T140,Retrn_val-Arg,T137,104,4
T140,Argument-Arg,T139,104,4
T142,Argument-Arg,T138,104,4
T142,Post_Clause-Arg,T140,104,4
T146,Argument-Arg,T147,101,4
T146,Argument-Arg,T148,101,4
T144,Argument-Arg,T147,101,4
T145,Argument-Arg,T147,101,4
T150,Argument-Arg,T151,100,4
T152,Argument-Arg,T151,100,4
T153,Argument-Arg,T154,95,4
T154,And_Or_Arg,T156,95,4
T154,And_Or_Arg,T155,95,4
T157,Argument-Arg,T158,95,4
T157,Argument-Arg,T154,95,4
T159,Argument-Arg,T163,95,4
T159,Argument-Arg,T153,95,4
T160,Argument-Arg,T161,95,4
T160,Argument-Arg,T163,95,4
T164,Argument-Arg,T165,115,4
T165,Argument-Arg,T166,115,4
T165,Argument-Arg,T167,115,4
T170,Pre_Clause-Arg,T172,116,4
T172,Argument-Arg,T173,116,4
T176,Argument-Arg,T175,117,4
T178,Argument-Arg,T177,117,4
T179,And_Or_Arg,T178,117,4
T179,And_Or_Arg,T180,117,4
T179,Post_Clause-Arg,T182,117,4
T180,Argument-Arg,T177,117,4
T181,Pre_Clause-Arg,T179,117,4
T182,Retrn_val-Arg,T169,117,4
T183,Retrn_val-Arg,T184,118,4
T185,Argument-Arg,T192,109,4
T185,Argument-Arg,T206,109,4
T186,Pre_Clause-Arg,T204,109,4
T187,Pre_Clause-Arg,T202,110,4
T188,Pre_Clause-Arg,T195,111,4
T191,Argument-Arg,T190,110,4
T197,Argument-Arg,T196,111,4
T198,Argument-Arg,T199,111,4
T201,Argument-Arg,T199,111,4
T201,Argument-Arg,T200,111,4
T202,Argument-Arg,T190,110,4
T202,Argument-Arg,T189,110,4
T202,Post_Clause-Arg,T210,110,4
T204,And_Or_Arg,T214,109,4
T204,Post_Clause-Arg,T218,109,4
T206,Argument-Arg,T193,109,4
T207,Argument-Arg,T213,109,4
T207,Argument-Arg,T185,109,4
T195,Argument-Arg,T203,111,4
T195,Argument-Arg,T194,111,4
T195,Argument-Arg,T199,111,4
T203,Argument-Arg,T208,111,4
T203,Argument-Arg,T196,111,4
T210,Argument-Arg,T212,110,4
T214,Argument-Arg,T205,109,4
T214,Argument-Arg,T216,109,4
T216,Argument-Arg,T215,109,4
T218,Retrn_val-Arg,T211,109,4
T219,Pre_Clause-Arg,T221,113,4
T221,Retrn_val-Arg,T222,113,4
T224,Argument-Arg,T223,113,4
T225,Argument-Arg,T224,113,4
T228,Pre_Clause-Arg,T237,114,4
T230,Retrn_val-Arg,T231,114,4
T233,Argument-Arg,T232,114,4
T236,Argument-Arg,T235,114,4
T236,Argument-Arg,T234,114,4
T237,And_Or_Arg,T236,114,4
T237,And_Or_Arg,T230,114,4
T237,Post_Clause-Arg,T233,114,4
T13,Argument-Arg,T238,81,4
T239,Argument-Arg,T86,90,4
T86,Argument-Arg,T240,90,4
T86,Argument-Arg,T241,90,4
T241,Argument-Arg,T89,90,4
T89,Argument-Arg,T242,90,4
T52,Argument-Arg,T243,91,4
T243,Argument-Arg,T91,91,4
T243,Argument-Arg,T92,91,4
T93,Argument-Arg,T163,95,4
T93,Argument-Arg,T159,95,4
T244,Argument-Arg,T146,101,4
T82,Argument-Arg,T159,95,4
T60,Argument-Arg,T152,100,4
T81,Argument-Arg,T135,103,4
T83,Pre_Clause-Arg,T142,104,4
T3,Argument-Arg,T2,120,3
T3,Argument-Arg,T4,120,3
T9,Argument-Arg,T8,119,3
T30,Retrn_val-Arg,T6,123,3
T32,Argument-Arg,T33,124,3
T32,Post_Clause-Arg,T34,124,3
T34,Retrn_val-Arg,T40,124,3
T37,Pre_Clause-Arg,T32,124,3
T40,Argument-Arg,T41,124,3
T40,Argument-Arg,T36,124,3
T42,Argument-Arg,T39,125,3
T43,And_Or_Arg,T42,125,3
T43,And_Or_Arg,T45,125,3
T43,And_Or_Arg,T49,125,3
T43,Post_Clause-Arg,T48,125,3
T45,Argument-Arg,T46,125,3
T48,Argument-Arg,T47,125,3
T49,And_Or_Arg,T51,125,3
T51,Argument-Arg,T52,125,3
T55,Retrn_val-Arg,T56,126,3
T56,Argument-Arg,T53,126,3
T59,Argument-Arg,T61,128,3
T59,Argument-Arg,T60,128,3
T63,Argument-Arg,T62,129,3
T64,Argument-Arg,T12,129,3
T64,Argument-Arg,T63,129,3
T66,Pre_Clause-Arg,T68,131,3
T68,Argument-Arg,T69,131,3
T68,Post_Clause-Arg,T165,131,3
T74,Argument-Arg,T77,132,3
T74,Argument-Arg,T75,132,3
T80,Argument-Arg,T79,133,3
T81,Argument-Arg,T79,133,3
T82,And_Or_Arg,T80,133,3
T82,And_Or_Arg,T81,133,3
T85,Pre_Clause-Arg,T86,134,3
T86,Argument-Arg,T83,134,3
T86,Argument-Arg,T87,134,3
T86,Post_Clause-Arg,T89,134,3
T89,Argument-Arg,T90,134,3
T89,Argument-Arg,T91,134,3
T92,Pre_Clause-Arg,T95,135,3
T95,And_Or_Arg,T97,135,3
T95,Post_Clause-Arg,T105,135,3
T95,And_Or_Arg,T78,135,3
T97,And_Or_Arg,T98,135,3
T97,And_Or_Arg,T100,135,3
T98,Argument-Arg,T99,135,3
T100,Argument-Arg,T99,135,3
T103,And_Or_Arg,T106,135,3
T103,And_Or_Arg,T104,135,3
T105,Retrn_val-Arg,T103,135,3
T106,Argument-Arg,T101,135,3
T106,Argument-Arg,T102,135,3
T108,Pre_Clause-Arg,T110,137,3
T109,Argument-Arg,T112,137,3
T110,And_Or_Arg,T109,137,3
T110,And_Or_Arg,T111,137,3
T110,Post_Clause-Arg,T113,137,3
T111,Argument-Arg,T112,137,3
T113,Argument-Arg,T13,137,3
T116,Pre_Clause-Arg,T117,138,3
T119,Argument-Arg,T121,138,3
T117,Argument-Arg,T118,138,3
T117,Post_Clause-Arg,T119,138,3
T122,Argument-Arg,T123,140,3
T125,Argument-Arg,T126,140,3
T125,Post_Clause-Arg,T122,140,3
T127,Pre_Clause-Arg,T125,140,3
T133,Argument-Arg,T132,139,3
T133,Argument-Arg,T14,139,3
T134,Argument-Arg,T128,139,3
T134,Argument-Arg,T129,139,3
T135,And_Or_Arg,T136,139,3
T135,And_Or_Arg,T134,139,3
T135,And_Or_Arg,T133,139,3
T136,Argument-Arg,T131,139,3
T136,Argument-Arg,T130,139,3
T137,Retrn_val-Arg,T135,139,3
T139,Pre_Clause-Arg,T142,139,3
T142,And_Or_Arg,T146,139,3
